draw,budget_tCO2,overshoot_tCO2,responsibility_share,equality_share,capability_share
2347,264814454.2425262,35185545.75801948,0.016497139117826413,0.007,0.017457572564315148
2348,240015707.4010287,59984292.59951699,0.016497139117826413,0.007,0.016805975076440553
2349,248917300.69348803,51082699.30705765,0.016497139117826413,0.007,0.014202478709530893
2350,248285860.84026873,51714139.16027695,0.016497139117826413,0.007,0.016032319501753184
2351,247837522.449988,52162477.55055767,0.016497139117826413,0.007,0.017231903283054312
2352,268041091.9723819,31958908.02816379,0.016497139117826413,0.007,0.017416438954306907
2353,252331939.4077672,47668060.592778474,0.016497139117826413,0.007,0.016923982603846394
2354,259483707.28750363,40516292.71304205,0.016497139117826413,0.007,0.017157867973879123
2355,250096606.18568647,49903393.81485921,0.016497139117826413,0.007,0.017092525517101324
2356,249964860.49403378,50035139.5065119,0.016497139117826413,0.007,0.016096267728599404
2357,270909146.3583829,29090853.6421628,0.016497139117826413,0.007,0.017482252163193778
2358,259047316.16591454,40952683.834631145,0.016497139117826413,0.007,0.017831277169568307
2359,255131348.7595367,44868651.24100897,0.016497139117826413,0.007,0.016325632004223715
2360,251816896.91802126,48183103.08252442,0.016497139117826413,0.007,0.016757300026956808
2361,271929901.8216887,28070098.17885697,0.016497139117826413,0.007,0.016725843191467752
2362,255261582.32908452,44738417.671461165,0.016497139117826413,0.007,0.017015041200706446
2363,254462948.72465116,45537051.27589452,0.016497139117826413,0.007,0.01729219382454215
2364,268030348.17462337,31969651.82592231,0.016497139117826413,0.007,0.01596589733785542
2365,244165186.90036464,55834813.10018104,0.016497139117826413,0.007,0.015758708405355638
2366,244432451.43664074,55567548.56390494,0.016497139117826413,0.007,0.01692940751956597
2367,269682357.45957696,30317642.540968716,0.016497139117826413,0.007,0.016929336415892296
2368,258837314.64849722,41162685.35204846,0.016497139117826413,0.007,0.01718659480286091
2369,254770295.53066778,45229704.4698779,0.016497139117826413,0.007,0.016607986360534288
2370,236143256.502578,63856743.49796769,0.016497139117826413,0.007,0.015870901219562503
2371,257359040.0684571,42640959.93208858,0.016497139117826413,0.007,0.017647439865268975
2372,249542347.13346162,50457652.867084056,0.016497139117826413,0.007,0.01604905181797339
2373,254098340.76913434,45901659.23141134,0.016497139117826413,0.007,0.018570261553566836
2374,253929980.100829,46070019.899716675,0.016497139117826413,0.007,0.01663694517697237
2375,263265731.0668132,36734268.93373248,0.016497139117826413,0.007,0.016120911212711003
2376,249421188.3184743,50578811.68207139,0.016497139117826413,0.007,0.015639172109827605
2377,251840598.48626578,48159401.5142799,0.016497139117826413,0.007,0.01702328860288316
2378,236382715.66375586,63617284.33678982,0.016497139117826413,0.007,0.016968865089255422
2379,242971881.88689482,57028118.11365086,0.016497139117826413,0.007,0.016549438276348697
2380,257082126.30175877,42917873.698786914,0.016497139117826413,0.007,0.0156972168560446
2381,244159819.77394968,55840180.226596,0.016497139117826413,0.007,0.016229847063066693
2382,233125791.8441859,66874208.15635979,0.016497139117826413,0.007,0.015651770475581986
2383,254965903.4102644,45034096.59028128,0.016497139117826413,0.007,0.015435636454847
2384,263525446.86556703,36474553.13497865,0.016497139117826413,0.007,0.017190953433414216
2385,258760831.9473194,41239168.05322629,0.016497139117826413,0.007,0.017254230228315966
